Date,AAPL,MSFT,GOOG,TSLA,BTC-USD
2021-12-14,174.10818481445312,327.6624755859375,2899.409912109375,958.510009765625,46612.6328125
2021-12-15,179.0718536376953,333.95947265625,2947.3701171875,975.989990234375,48896.72265625
2021-12-16,172.04080200195312,324.2295837402344,2896.77001953125,926.9199829101562,47665.42578125
2021-12-17,170.9222412109375,323.1318359375,2856.06005859375,932.5700073242188,46202.14453125
2021-12-20,169.53399658203125,319.2498779296875,2848.030029296875,899.9400024414062,46880.27734375
2021-12-21,172.76988220214844,326.6146545410156,2884.409912109375,938.530029296875,48936.61328125
2021-12-22,175.41650390625,332.5124816894531,2938.97998046875,1008.8699951171875,48628.51171875
2021-12-23,176.05569458007812,333.9993896484375,2942.85009765625,1067.0,50784.5390625
2021-12-27,180.1005401611328,341.7433776855469,2961.280029296875,1093.93994140625,50640.41796875
2021-12-28,179.06185913085938,340.54583740234375,2928.9599609375,1088.469970703125,47588.85546875
2021-12-29,179.15174865722656,341.2444152832031,2930.090087890625,1086.18994140625,46444.7109375
2021-12-30,177.97325134277344,338.6198425292969,2920.050048828125,1070.3399658203125,47178.125
2021-12-31,177.34405517578125,335.62603759765625,2893.590087890625,1056.780029296875,46306.4453125
2022-01-03,181.7783966064453,334.05926513671875,2901.489990234375,1199.780029296875,46458.1171875
2022-01-04,179.47134399414062,328.33111572265625,2888.330078125,1149.5899658203125,45897.57421875
2022-01-05,174.69741821289062,315.7271728515625,2753.070068359375,1088.1199951171875,43569.00390625
2022-01-06,171.78114318847656,313.2323303222656,2751.02001953125,1064.699951171875,43160.9296875
2022-01-07,171.950927734375,313.3919982910156,2740.090087890625,1026.9599609375,41557.90234375
2022-01-10,171.9709014892578,313.62152099609375,2771.47998046875,1058.1199951171875,41821.26171875
2022-01-11,174.8572235107422,314.330078125,2800.35009765625,1064.4000244140625,42735.85546875
2022-01-12,175.306640625,317.6132507324219,2832.9599609375,1106.219970703125,43949.1015625
2022-01-13,171.9709014892578,304.1710510253906,2782.6201171875,1031.56005859375,42591.5703125
2022-01-14,172.84979248046875,309.5599365234375,2795.72998046875,1049.6099853515625,43099.69921875
2022-01-18,169.5839385986328,302.0254821777344,2725.81005859375,1030.510009765625,42375.6328125
2022-01-19,166.0184783935547,302.7040710449219,2713.0400390625,995.6500244140625,41744.328125
2022-01-20,164.3006591796875,300.9776611328125,2670.1298828125,996.27001953125,40680.41796875
2022-01-21,162.20335388183594,295.4191589355469,2601.840087890625,943.9000244140625,36457.31640625
2022-01-24,161.41433715820312,295.7584533691406,2607.43994140625,930.0,36654.328125
2022-01-25,159.57669067382812,287.89471435546875,2534.7099609375,918.4000244140625,36954.00390625
2022-01-26,159.48680114746094,296.0977478027344,2584.800048828125,937.4099731445312,36852.12109375
2022-01-27,159.0174102783203,299.2212829589844,2582.419921875,829.0999755859375,37138.234375
